Kinase Name	weighted_sum	cnt
TGFbR2	0.0909090909090909	1
ACTR2B	0.0909090909090909	1
BMPR2	0.0909090909090909	1
ALK7	0.0909090909090909	1
ACTR2	0.0909090909090909	1
ATM	0.0769230769230769	1
DNAPK	0.0769230769230769	1
SGK1	0.0569908814589666	2
SGK2	0.0569908814589666	2
TAO1	0.0498480243161094	2
KHS1	0.0498480243161094	2
MYO3A	0.0498480243161094	2
TAO3	0.0498480243161094	2
HGK	0.0498480243161094	2
SLK	0.0498480243161094	2
PAK1	0.0498480243161094	2
MINK	0.0498480243161094	2
STLK6	0.0498480243161094	2
PAK4	0.0498480243161094	2
HPK1	0.0498480243161094	2
YSK1	0.0498480243161094	2
PAK2	0.0498480243161094	2
LOK	0.0498480243161094	2
STLK5	0.0498480243161094	2
MYO3B	0.0498480243161094	2
KHS2	0.0498480243161094	2
PAK5	0.0498480243161094	2
OSR1	0.0498480243161094	2
MST4	0.0498480243161094	2
MOK	0.0480549199084668	2
CDK3	0.0454545454545455	1
DLK	0.027027027027027	1
HH498	0.027027027027027	1
ZAK	0.027027027027027	1
MLK1	0.027027027027027	1
NLK	0.0263157894736842	1
Erk4	0.0263157894736842	1
Erk7	0.0263157894736842	1
p38g	0.0263157894736842	1
DAPK3	0.0212765957446809	1
DAPK1	0.0212765957446809	1
DRAK2	0.0212765957446809	1
DAPK2	0.0212765957446809	1
TNIK	0.0212765957446809	1
MST2	0.0212765957446809	1
