Gene Symbol	EntrezID	Gene Name
MMP2	4313	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
MMP9	4318	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
MN1	4330	meningioma (disrupted in balanced translocation) 1
MPZL2	10205	myelin protein zero-like 2
MST1R	4486	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
MTSS1	9788	metastasis suppressor 1
MTUS1	57509	microtubule associated tumor suppressor 1
MYL9	10398	myosin, light chain 9, regulatory
MYLK	4638	myosin light chain kinase
MYO10	4651	myosin X
NAP1L3	4675	nucleosome assembly protein 1-like 3
NAV3	89795	neuron navigator 3
NCF2	4688	neutrophil cytosolic factor 2
NDRG1	10397	N-myc downstream regulated 1
NEBL	10529	nebulette
NEDD9	4739	neural precursor cell expressed, developmentally down-regulated 9
NFE2L3	9603	nuclear factor (erythroid-derived 2)-like 3
NID2	22795	nidogen 2 (osteonidogen)
NMU	10874	neuromedin U
NR2F1	7025	nuclear receptor subfamily 2, group F, member 1
NRCAM	4897	neuronal cell adhesion molecule
NRG1	3084	neuregulin 1
NRP1	8829	neuropilin 1
NT5E	4907	5'-nucleotidase, ecto (CD73)
OAS1	4938	2',5'-oligoadenylate synthetase 1, 40/46kDa
OCLN	4950	occludin
OLFML2A	169611	olfactomedin-like 2A
OSR2	116039	odd-skipped related 2 (Drosophila)
OVOL2	58495	ovo-like 2 (Drosophila)
PAPSS2	9060	3'-phosphoadenosine 5'-phosphosulfate synthase 2
PCDH7	5099	protocadherin 7
PDE4DIP	9659	phosphodiesterase 4D interacting protein
PDGFRL	5157	platelet-derived growth factor receptor-like
PEG10	23089	paternally expressed 10
PI3	5266	peptidase inhibitor 3, skin-derived
PKP2	5318	plakophilin 2
PKP3	11187	plakophilin 3
PLA2G16	11145	phospholipase A2, group XVI
PLA2G4A	5321	phospholipase A2, group IVA (cytosolic, calcium-dependent)
PLAT	5327	plasminogen activator, tissue
PLAU	5328	plasminogen activator, urokinase
PLAUR	5329	plasminogen activator, urokinase receptor
PLCB4	5332	phospholipase C, beta 4
PLS1	5357	plastin 1
PLXNB1	5364	plexin B1
PMP22	5376	peripheral myelin protein 22
POLR3G	10622	polymerase (RNA) III (DNA directed) polypeptide G (32kD)
POSTN	10631	periostin, osteoblast specific factor
PPAP2B	8613	phosphatidic acid phosphatase type 2B
PPARG	5468	peroxisome proliferator-activated receptor gamma
PPL	5493	periplakin
PRKCA	5578	protein kinase C, alpha
PRRG4	79056	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
PRSS23	11098	protease, serine, 23
PRSS8	5652	protease, serine, 8
PRUNE2	158471	prune homolog 2 (Drosophila)
PTGER2	5732	prostaglandin E receptor 2 (subtype EP2), 53kDa
PTGER4	5734	prostaglandin E receptor 4 (subtype EP4)
PTGES	9536	prostaglandin E synthase
PTGFR	5737	prostaglandin F receptor (FP)
PTHLH	5744	parathyroid hormone-like hormone
PTX3	5806	pentraxin 3, long
RAPGEF5	9771	Rap guanine nucleotide exchange factor (GEF) 5
RASSF6	166824	Ras association (RalGDS/AF-6) domain family member 6
RCBTB2	1102	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2
RECK	8434	reversion-inducing-cysteine-rich protein with kazal motifs
RGL1	23179	ral guanine nucleotide dissociation stimulator-like 1
RGS4	5999	regulator of G-protein signaling 4
RHOBTB3	22836	Rho-related BTB domain containing 3
RHOD	29984	ras homolog gene family, member D
ROR1	4919	receptor tyrosine kinase-like orphan receptor 1
S100A2	6273	S100 calcium binding protein A2
S100A8	6279	S100 calcium binding protein A8
S100A9	6280	S100 calcium binding protein A9
S100P	6286	S100 calcium binding protein P
SCNN1A	6337	sodium channel, nonvoltage-gated 1 alpha
SEL1L3	23231	sel-1 suppressor of lin-12-like 3 (C. elegans)
SEMA3A	10371	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
SEMA5A	9037	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A
SERPINA1	5265	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1
SERPINA3	12	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
SERPINB1	1992	serpin peptidase inhibitor, clade B (ovalbumin), member 1
SERPINB2	5055	serpin peptidase inhibitor, clade B (ovalbumin), member 2
SERPINB7	8710	serpin peptidase inhibitor, clade B (ovalbumin), member 7
SERPINE1	5054	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
SERPINE2	5270	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2
SFN	2810	stratifin
SFRP1	6422	secreted frizzled-related protein 1
SIRPA	140885	signal-regulatory protein alpha
SLC22A4	6583	solute carrier family 22 (organic cation/ergothioneine transporter), member 4
SLC27A2	11001	solute carrier family 27 (fatty acid transporter), member 2
SLC39A8	64116	solute carrier family 39 (zinc transporter), member 8
SLC4A7	9497	solute carrier family 4, sodium bicarbonate cotransporter, member 7
SLC6A15	55117	solute carrier family 6 (neutral amino acid transporter), member 15
SLC7A5	8140	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
SLPI	6590	secretory leukocyte peptidase inhibitor
SMAD3	4088	SMAD family member 3
SMPDL3B	27293	sphingomyelin phosphodiesterase, acid-like 3B
SOCS2	8835	suppressor of cytokine signaling 2
SORL1	6653	sortilin-related receptor, L(DLR class) A repeats containing
SPARC	6678	secreted protein, acidic, cysteine-rich (osteonectin)
SPINT1	6692	serine peptidase inhibitor, Kunitz type 1
SPOCK1	6695	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1
SPRR1A	6698	small proline-rich protein 1A
SPRY1	10252	sprouty homolog 1, antagonist of FGF signaling (Drosophila)
SRCAP	10847	Snf2-related CREBBP activator protein
SRGN	5552	serglycin
SRPX2	27286	sushi-repeat containing protein, X-linked 2
ST14	6768	suppression of tumorigenicity 14 (colon carcinoma)
ST6GALNAC2	10610	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
STARD13	90627	StAR-related lipid transfer (START) domain containing 13
STC1	6781	stanniocalcin 1
SULF1	23213	sulfatase 1
SYK	6850	spleen tyrosine kinase
SYNE1	23345	spectrin repeat containing, nuclear envelope 1
SYT11	23208	synaptotagmin XI
SYTL2	54843	synaptotagmin-like 2
TAGLN	6876	transgelin
TBX3	6926	T-box 3
TCF4	6925	transcription factor 4
TFPI	7035	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
TFPI2	7980	tissue factor pathway inhibitor 2
TGFA	7039	transforming growth factor, alpha
TGFBR3	7049	transforming growth factor, beta receptor III
TGM2	7052	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
THBS1	7057	thrombospondin 1
TIMP2	7077	TIMP metallopeptidase inhibitor 2
TLR3	7098	toll-like receptor 3
TM4SF1	4071	transmembrane 4 L six family member 1
TMEM158	25907	transmembrane protein 158 (gene/pseudogene)
TMEM30B	161291	transmembrane protein 30B
TNC	3371	tenascin C
TNFAIP3	7128	tumor necrosis factor, alpha-induced protein 3
TNFAIP6	7130	tumor necrosis factor, alpha-induced protein 6
TP63	8626	tumor protein p63
TPD52L1	7164	tumor protein D52-like 1
TPM1	7168	tropomyosin 1 (alpha)
TPM2	7169	tropomyosin 2 (beta)
TRIM29	23650	tripartite motif containing 29
TSPAN1	10103	tetraspanin 1
TUBA1A	7846	tubulin, alpha 1a
TXNIP	10628	thioredoxin interacting protein
VCAN	1462	versican
VEGFA	7422	vascular endothelial growth factor A
VGLL1	51442	vestigial like 1 (Drosophila)
VIM	7431	vimentin
VSNL1	7447	visinin-like 1
WNT5A	7474	wingless-type MMTV integration site family, member 5A
XYLT1	64131	xylosyltransferase I
ZEB1	6935	zinc finger E-box binding homeobox 1
ZHX2	22882	zinc fingers and homeoboxes 2
ZNF165	7718	zinc finger protein 165
